O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH
0.5950942269194879,3.2525842560485165e10,2.482975128511685e10,9.090533574262845e10,2.104585328000884,0.6431341585398384,3.007567298028697,2.480079744661944,3.077944676149592,1.6340489595442258e12,3.80327113851833e12,5.924258078801474e9,0.9575684252523317,1.0000847499493422,2.3323014449992496,1.0136436642815395e10,1.0,3.0779446681205904,1.0,1.0,4.167502813537795,4.812100054569871e13,4.167878106383221,0.9963928998175311,1.5756686424515298e11,0.9999229349749181,3.1406362724470664,4.3965148738184645,1.758716486949508e10
347.5015719887063,3.2401734975030228e10,2.4693040637847466e10,9.101087221926414e10,147594.67334293234,0.018959806625218636,162934.35783557815,1.7610474437972913e6,1.5254959150235252e7,1.634048918019547e12,3.80328149660654e12,5.92339618820097e9,4.921592693564341e6,1.8408738936870985e7,6.633109514031964e6,1.0136250725325066e10,33.225708412176616,0.007317458660502574,1712.5700027722871,185889.33524565052,1.8426351560042216e-6,4.8120994139861805e13,2.185430197120999e6,983.2827100886328,1.5754246418005243e11,3488.223306235689,42.94055931884449,732084.1130436303,1.7586837338613228e10
346.76187678278365,3.227981854865291e10,2.452155346883669e10,9.114024242658679e10,155009.0329468928,0.018875228855411194,265658.60943815025,2.1356264592018994e6,2.1817009282261923e7,1.634048780436992e12,3.803296009069886e12,5.922467749632241e9,1.1836602548728874e7,4.455872976752116e7,1.5113474008105371e7,1.013598693662953e10,39.947842675503544,0.008871186885048924,7139.9550578147155,449671.3070919257,7.078285930722513e-10,4.812098504884461e13,3.1659779764567106e6,4665.850157075731,1.5751083720036722e11,11248.98000871954,61.73496870071356,1.0776296167322e6,1.7586372607255863e10
345.7226602875188,3.2160338545097965e10,2.433356685408744e10,9.128340069229561e10,159347.43957565725,0.01880228637896475,323715.3826583461,2.3584003207313106e6,2.6002147553633608e7,1.63404859451739e12,3.803312597083606e12,5.92151363321624e9,1.968830503090215e7,7.462744754619117e7,2.1693581119808685e7,1.0135684045462927e10,44.27301236875297,0.00979437340323343,16049.525612186042,752558.1476044337,1.2038236329106554e-12,4.812097460774674e13,3.6891146340977475e6,10564.576091469364,1.5747540646957635e11,20971.507066110637,71.36581000951975,1.2663672339226527e6,1.758583899067233e10
343.65352813354275,3.204369674423657e10,2.413650195689822e10,9.143435646401181e10,161304.93951252574,0.018701067330785536,358365.9316068651,2.508023491284477e6,2.883935534207221e7,1.6340483790246086e12,3.803330476714942e12,5.920546753749873e9,2.8078789308992274e7,1.0719808197403358e8,2.6603280507568322e7,1.013535654289304e10,46.86130055358307,0.010422340445615843,28323.27992391682,1.0800581285733313e6,2.6986171540824516e-14,4.812096333745162e13,4.0068815244874246e6,18105.53215090207,1.5743744686221484e11,31771.470778124996,77.04119571258627,1.4103422973960014e6,1.7585262448629745e10
342.77376304142723,3.1929985780878628e10,2.3934640126093094e10,9.158936105057549e10,163502.08238674572,0.018628590204884346,380564.1734605701,2.6078445583508764e6,3.091918325586635e7,1.6340481444738203e12,3.803349213513441e12,5.919573256644163e9,3.6788722819755085e7,1.4148982916493893e8,3.0297033631709795e7,1.0135012429007582e10,48.72646143967772,0.010833555987214903,43947.60030441522,1.4241701484587495e6,-8.876830280667501e-16,4.812095152923485e13,4.247678642490979e6,26886.862413193194,1.573977453032382e11,43240.72853683092,80.93650536276404,1.4984655083062465e6,1.7584657389647003e10
341.4648233619898,3.18190433973668e10,2.3730121613917953e10,9.174660745450363e10,164834.00103150905,0.018551036971101716,395344.5186602425,2.6759481642455515e6,3.245071308170717e7,1.6340478965236323e12,3.8033685305833804e12,5.91859651453143e9,4.567099953024469e7,1.769732522083149e8,3.306320073602072e7,1.0134656998052746e10,50.00615371653875,0.011119339065172481,62932.00607484977,1.7795998233150195e6,-1.7770913642610663e-17,4.8120939345169914e13,4.415641178282002e6,36646.09391754428,1.5735685765745792e11,55167.19580781007,83.48459786547328,1.5769034150366802e6,1.758403273207086e10
340.883641943299,3.1710829408587143e10,2.3524669839971825e10,9.190460666917638e10,166528.33102426273,0.018485416580467692,405708.56745203707,2.725058123494261e6,3.364972860211517e7,1.6340476395613103e12,3.8033882358129297e12,5.9176185251990385e9,5.462701805882085e7,2.1328753839065263e8,3.513963643756859e7,1.0134293892576923e10,50.85815645081813,0.011319936323083911,85300.07294879298,2.1427044469363224e6,2.4969683771389722e-15,4.812092690833145e13,4.556367876935084e6,47166.33662548673,1.5731517015089343e11,67402.39854205829,85.34602600236059,1.6256965787759812e6,1.7583394825599247e10
339.8467761475987,3.1605237598518394e10,2.3319211367109695e10,9.206237980273988e10,167628.06939182003,0.018409553415423503,413650.3465167843,2.761757052714731e6,3.458521576665147e7,1.634047375694666e12,3.803408234202816e12,5.916640392750839e9,6.360709649569613e7,2.5025312477328575e8,3.677138341357075e7,1.0133924922740013e10,51.312270233928686,0.011475354889658005,111074.62397821106,2.511673829576463e6,4.168684180339661e-15,4.812091427817354e13,4.66085942505277e6,58323.234470546624,1.5727286346774323e11,79862.45828602246,86.61579096170551,1.6784061746271355e6,1.7582746790759243e10
339.51245075542704,3.1501598727592575e10,2.3113689213235786e10,9.221993569886232e10,170205.75329012945,0.018293394824440073,418213.17716925766,2.8451480531281726e6,3.589384196016965e7,1.6340471021634448e12,3.803428601842731e12,5.915660976782803e9,7.263641054370485e7,2.879891479259002e8,3.7893376227825105e7,1.0133548812908472e10,50.76018717272623,0.011812123850743608,140327.01101785127,2.8877842128633866e6,-5.44146862696132e-19,4.812090138271565e13,4.8292227075184705e6,70119.17433392101,1.572297331418914e11,92550.58604168476,88.76465857736271,1.7036900512141944e6,1.7582085821451687e10
336.20855605513736,3.1400942645618946e10,2.2908943597787006e10,9.237491016842654e10,167074.5936682364,0.01822476103322149,428024.3435863496,2.8121252050516526e6,3.590408767127635e7,1.6340468237154382e12,3.8034492860688687e12,5.914682101871706e9,8.170316123517692e7,3.264625753243571e8,3.9919123244105965e7,1.013316627272137e10,51.30026388012172,0.011714026313566262,173050.71305111167,3.2703238599817096e6,-5.479161023763918e-27,4.812088833729022e13,4.828653236800014e6,82558.48095388862,1.5718590819834033e11,105438.98551113551,88.69816577429631,1.846807554878405e6,1.7581414861504242e10
335.64847434279477,3.1303966769622128e10,2.2709074219367783e10,9.252604202548924e10,168575.45988690906,0.01817347880326552,439830.6272935382,2.807431762832582e6,3.6212992962290816e7,1.6340465545742568e12,3.8034697213550312e12,5.913708371704609e9,9.055026060241455e7,3.646250792361816e8,4.155593183424347e7,1.0132787845916706e10,51.37125836879401,0.011697058548574581,209359.24171978657,3.648750593669597e6,-7.956412276419772e-27,4.812087553416696e13,4.844684237620284e6,94944.81822409008,1.5714262744555743e11,118194.65291106877,88.26631471666835,1.8637394125039966e6,1.758075302438537e10
335.72441113816444,3.1209284802871925e10,2.251094563282093e10,9.267608332379167e10,171018.43184757457,0.018121051314493333,447490.98374347354,2.8302433438251037e6,3.693349726832851e7,1.6340462834243774e12,3.803490205914977e12,5.912736435477757e9,9.930045511125052e7,4.029585276399829e8,4.248760634098834e7,1.0132408267044228e10,51.54762735179884,0.01178336375780682,249226.70083051562,4.0283292896950366e6,-1.3057520329172427e-29,4.8120862678582945e13,4.923641413155076e6,107620.03806824672,1.5709918682524933e11,130954.81364997287,88.76888969173905,1.8653189328317076e6,1.7580088918933296e10
